|comment|thensor|grade
183|Редкостная дребедень! Нелепость и ничего больше. Книга оставила отвратительное ощущение.|[-8.553518  -9.397028  -8.886636  ... -9.922147  -9.929203  -9.9258995]|1
184|"Оставлю мнение об одной книге - но по-моему относится ко всем книгам данного автора - по моему мнению они написаны как ""под копирку"" т.е. прочитав 3-4 книги с уверенностью можно говорить о том, чем закончатся другие произведения. Прошу прощения у любителей Донцовой."|[ -8.11728   -7.435481  -7.787722 ... -10.068226 -10.082899 -10.076016]|1
185|Не соглашусь с предыдущим отзывом, очень и очень жестокая книга. Когда сопережеваешь бедняге псу на протяжении всей книги, хочешь чтоб поскорей прибежал к своему хозяину, но в конце его убивают...да ещё каким образом! Когда дочитала, просто хотелось вырвать последнюю страницу книги и переписать по своему. В общем не для каждого... да и вообще не знаю кому понравится ещё.|[-10.379108 -10.576117  -9.6508   ... -11.779862 -11.794437 -11.787599]|1
186|пытался читать в дороге только потому что ничего под рукой больше не было. полнейшая ерунда. я бы даже дал автору премию, вроде как поощрительный приз, за худшее из всего что мне приходилось когда-либо читать.|"[ -9.881733  -10.8986635  -9.9845705 ... -11.377274  -11.38945
 -11.383711 ]"|1
187|Гадооооость. Ужасная гадость. Как и все что пишет маркизззз.|[-4.5274086 -6.2906814 -5.9471188 ... -7.5559926 -7.5541725 -7.5550385]|1
188|Редкостная дрянь. НЕпонятная, мерзкая, бессмысленная.|[-7.41666   -5.5275583 -4.5235095 ... -6.9898777 -6.9941907 -6.992142 ]|1
189|Бревно останется бревном (с), а бездарность останется бездарностью, какую бы риторику она не использовала и в какой бы агрессивной форме это не выражала. Бездарность и вопиющая безграмотность, выпирающая отовсюду - начиная с самого названия книги, режущего слух некорректным построением. Лес, который извели на тираж этого опуса, мог бы принести больше пользы в виде рулонов туалетной бумаги.|[-6.494431  -7.001663  -7.4556737 ... -8.394172  -8.388511  -8.3911915]|1
190|Ничего личного, но чтиво для и про блондинок.|"[-10.131163   -6.9383993  -9.356373  ... -10.308559  -10.33058
 -10.320192 ]"|1
191|Более низкопробной книги в руках не держала уже очень давно! Конечно, если вам нравится читать нравоучительные пассажи о том, что только некоммерческий русский рок спасет души людей, а попсу надо запретить, то восторг обепечен. А уж если интересуетесь лесбиянками, пытающими друг друга для просветления... Ммм...|[ -7.628359 -10.752472  -8.805671 ...  -9.632318  -9.63361   -9.633042]|1
192|Редкостная мерзость, давно ничего хуже не читала, не бросила из-за идиотской привычки дочитывать любые книги до конца. Многим знакомым понравился, что для меня остается огромной загадкой и парадоксом.|[-10.142236 -10.188518 -10.553159 ... -11.750667 -11.761864 -11.75663 ]|1
193|Низкопробное чтиво для домохозяеек|[-4.758723  -6.600329  -4.461666  ... -6.8958764 -6.9009356 -6.8985696]|1
194|Н-да, фантастика... Это действительно фантастический кошмар. Про порку как стиль жизни.|[-10.19384   -7.317157  -8.413269 ... -10.712277 -10.731676 -10.722593]|1
195|хуже не бывает. все, что можно, в кучу свалено в эту книгу.да его и рядом нельзя поставить с другими нобелевскими лауреатами.одним словом кошмар|[-12.242536 -10.668848 -11.665064 ... -12.953927 -12.968007 -12.961393]|1
196|"Агитка. Очень слабое произведение. С трудом верится, что тот же самый человек мог написать и милое ""Обещание на рассвете""."|"[ -9.851072   -8.311309   -7.4901986 ... -10.398936  -10.4157715
 -10.407856 ]"|1
197|"Эээ... А Коэльо писал что-то хорошее кроме кусков ""Вероники...""? Автор в корне своем не располагает к ожиданию чуда... Очередная попытка автора показать знания женской души - нелепо провалилась. )"|[-6.4909883 -8.112901  -7.5088315 ... -8.786742  -8.792745  -8.78995  ]|1
198|тоска зеленая. не осилила и 10%|[-11.990199 -11.383175 -10.631965 ... -12.631652 -12.651016 -12.641918]|1
199|Взяла книгу у подруги. Прочитала от нечего делать.Написано до ужаса приметивно.|"[-10.952932   -8.901533   -6.5012107 ... -10.272738  -10.287587
 -10.280613 ]"|1
200|Дрянная жвачка в яркой обертке. Обертку видно за версту, а на ней большими светящимися буквами написано: кто прочел, тот интеллектуал. Короче, круто. Остается только сделать умное лицо и не забывать почаще хаять Донцову. Только конечно же, и в голову не придет что Донцова и Даня Браун - одного поля ягоды, разница то лишь в том, что Даша - честно ни на что не претендует и не пытается из читателя сделать дурака.|[-8.347672  -7.509544  -8.1692915 ... -9.436331  -9.438384  -9.437448 ]|1
201|Позор автору!!!|"[ -6.0447974 -10.397774   -4.952343  ...  -7.5169525  -7.5194
  -7.5182266]"|1
202|Очередная подтасовка фактов, извращение цифр и данных, игнорирование исторических документов. Отвратительно, что такие книги всё ещё издаются. И ещё отвратительней, что есть те, кто их пропагандирует.|[-10.15112   -8.352147 -10.026901 ... -10.442296 -10.462638 -10.453049]|1
203|полная жесть. уничтожитель мозгов. издевательство и зомбирование людей. читайте лучше что-нибудь поумнее.|"[-10.97014    -8.5412655 -12.128854  ... -11.764037  -11.773855
 -11.769244 ]"|1
204|Мужик изжил себя очень давно. Полное г...... Безнадежно устарел. Его время прошло.|[ -8.370706  -7.66416  -10.01987  ... -10.103901 -10.108967 -10.106608]|1
205|Попыталась почитать. Мрак. Язык рваный, повествование путанное. А уж сколько грязи на страницах... Зачем такие книги писать - не знаю. А читать их точно не стоит!|"[ -9.595944   -7.6277304  -8.61611   ... -10.091444  -10.105704
 -10.099008 ]"|1
206|Очень тяжелое произведение! Я прочитала полностью, но мне совсем не понравилось.|[ -8.625759  -9.69578   -8.378464 ... -11.040169 -11.058823 -11.050061]|1
207|"Впервые обучающая энциклопедия для младшего школьного возраста! Слоган на обложке ""Потомучки"", труде аж трех издательств - ""АСТ"", ""Астрель"", ""Транзит-книга"", - был неотразим. Особенно если учесть, что родители первоклассников выросли на много раз издававшейся ""Почемучке"" и ""Потомучке"" Георгия Юрмина и Александра Дитриха. Вот и я ""купилась"" на знакомое название. Но оказалось, что нынешний ""шедевр"" отличается от детской классики, как китайские поделки от лицензионного Dior. От прежней классной книжки осталось одно название. Под обложкой ни энциклопедии, ни толкового словарика. Какой уж словарик на 60 слов! Про первое слово ""авиация"" узнаем, что оно ""от латинского слова ""авиа"" - птица"". Вообще-то птица по-латыни - avis. Если автор энциклопедических статей г-н Куркин об этом не знал, то мог хотя бы в словарь заглянуть. Упоминание о братьях Райт и инженерах Юрьеве и Сикорском - вот и вся история. Ни слова о типах, об устройстве самолетов. Вскоре понимаю, что г-н Куркин не интересуется не только самолетами. Ему до лампочки шахматы, тундра и т. д. Словник - повод для перепечатки известных детских стихов и рассказов. На обороте - мелким шрифтом признание: не энциклопедия, не словарь, а ""книга для чтения в начальной школе"". Тяжеленная, дорогущая, бесполезная... А словник лучше не читать - меньше ошибок у чада будет. http://www.itogi.ru/ paper2006.nsf/Articl e/Itogi_2006_09_10_0 0_4628.html"|[ -8.252038 -10.154689  -9.224974 ...  -9.922197  -9.93441   -9.928641]|1
208|Одно слово - муть!|[-7.2026734 -5.1166334 -5.024148  ... -6.3298454 -6.328752  -6.3292537]|1
209|А что вы тут называете приключениями. Это мочилово с элементами хорора!?|[-7.4839425 -7.5284953 -5.863308  ... -7.916289  -7.9194493 -7.9179845]|1
210|Ужасный, совершенно примитивный слог. Возможно сама идея книги и не плоха, но то, как это написано, заставляет мучатся на каждой странице. Бедность словарного запаса автора мешает концентрироваться на сюжете. Не понравилось категорически :(|"[ -9.46808    -7.1941624  -8.032397  ... -10.263634  -10.275227
 -10.269789 ]"|1
211|Честно говоря, ну вот объективно - это УЖАСНО|[-9.4594    -7.0172725 -6.9340873 ... -9.113799  -9.119462  -9.116788 ]|1
212|Бред.|"[-10.9939165  -8.794395   -9.232885  ... -10.185423  -10.215977
 -10.201565 ]"|1
213|"Это был бы вполне приличный романтический пустячек - если бы создатели поменяли названия. Ибо фильм с таким названием претендует как на наличие в сюжете гордости и предубеждения, так и на то, что бы соответствовать роману. Ни того, ни другого тут нет. Кроме того, несмотря на то, что некоторые критики хвалили за молодость Киру Найтли, на самом деле она слишком молода. Ее героине должен быть 22 года (""увы мне уже не 21""), и она уже 5-6 лет ""выходит"" в свет. Так, что проблема данного фильма не в том, что он так уж плох (хотя и нечего особенного) , а в том, что он во всем кроме имен героев и части сюжетных линий принципиально отличается от романа. Назвали бы его ""Лиззи и Дарси"" , или хотя бы написали бы в титрах ""данный фильм является вольной фантазией на тему классики английской литературы"". А с таким названием фильм обязан быть экранизацией, а ей он не является. С последним судя по всему согласны практически все, кто читали роман."|"[ -8.586417  -10.184231   -7.940883  ...  -9.9417515  -9.951183
  -9.946746 ]"|1
214|Из крайне интересного политического триллера, где в конце смоделировано поведение политиков во время кризиса, а поведение их такое, что на ровном месте чуть не начинается мировая война, сделали обычную голливудскую беготню с героями-одиночками. И две важные детали - в книге президент, тогда еще СССР, умнее, честнее и сдержаннее американского президента. Вторая деталь - несмотря на то, что писали некоторые критики, взрыв бомбы это не изменение в сценарии в связи с 11 сентября, а основа книги|"[-10.522656   -8.5644245  -7.3451023 ... -10.07928   -10.092065
 -10.086064 ]"|1
215|Хотя книга и высмеивает образ жизни европейцев и американцев, но сравнивать с казахским народом, на долю которого очень многео выпало... Этим выскочкам никогда не понять всю глубину и древность азиатских традиций, не понять этой мудрости. Да, высмеивать надо, но не сравнивая с кем-то... улыбка улыбкой, но русских там не было, только потому что это вызвало бы жесткую критику... а казахстан по политическим соображенеим вполне подоходит.|[-10.565055 -10.229651  -9.585673 ... -11.491824 -11.499286 -11.495819]|1
216|Плохой фильм о том, как жить не надо. Ну, показали нам семью, состоящую из одних проблем, и что дальше? Какие-то решения или выходы из ситуации наметить наверняка надо. Или это была просто неудачная попытка эпатажа?|[-12.519978 -11.122776  -8.69772  ... -11.127667 -11.147325 -11.138099]|1
217|Фильм отвратительный. По-моему, это откровенная политическая провокация. Обилие нецензурной лексики и непристойных сцен просто ужасает. Удивительно только одно: как в этот мутный фильм смогли затащить Памелу Андерсон?|"[-10.71354   -10.514548   -6.7307777 ...  -9.694399   -9.716292
  -9.705949 ]"|1
218|"Не знаю, может, я что-то не понимаю, но досмотреть фильм так и не смогла. Есть замашки на антураж ""Соляриса"". Но такие жалкие, что даже говорить о нем не хочется, не то, что смотреть..."|[-10.114409  -9.57903   -9.202551 ... -11.295772 -11.315978 -11.30648 ]|1
219|"Не нравится мне эта неприкрытая реклама под видом фильма. Детские истерики по поводу ""Барби"" итак достаточно сильны, чтобы наивному ребенку втемяшивать еще больше рекламы этого продукта."|[-7.155792 -8.688679 -7.877028 ... -8.642791 -8.651282 -8.647293]|1
220|Не понимаю интереса людей к этому фильму. Досмотреть его толком и не получается. Слишком пошло, глупо, не интересно.|"[-12.291573   -9.996625   -9.275795  ... -10.944601  -10.971365
 -10.9587345]"|1
221|да уж, особенно ужаснула интимная сцена, когда девушка насилует парня - при чем тааким изощренным способом!|[-6.769896 -8.403213 -3.660938 ... -8.21336  -8.218442 -8.216035]|1
222|Гомер такого не писал. В то, что сценарист всё знает лучше, я не верю. А морда Блума мне противна, пусть и в такой похабной роли:)|"[-11.186832   -8.910852   -9.1095085 ... -10.573846  -10.588335
 -10.581547 ]"|1
223|Ужас! Тоько что посмотрела этот фильм... Очень неприятный осадок остался... Противно и грязно!|[-9.62078  -8.367451 -7.657124 ... -9.478329 -9.49504  -9.487164]|1
224|Всякий расизм, нацизм - это великое зло|"[ -8.631714   -8.996812   -6.9407988 ... -10.014697  -10.029092
 -10.022328 ]"|1
225|Бред, бред и еще раз бред!!! Противные, гадкие черви!!!|[-4.973263  -9.381757  -6.2974043 ... -8.816465  -8.821519  -8.819158 ]|1
226|ГАДОСТЬ!!! дольше 2 минут смотреть не возможно, аж зло берет....|[ -8.51276  -10.226259  -8.084866 ...  -9.338649  -9.342494  -9.340673]|1
227|Читать книгу было намного интересней...А в фильме Волочкова всё безнадёжно испортила.|[ -9.968263 -10.102339  -6.261603 ...  -8.552729  -8.558717  -8.555888]|1
228|"Все ложь. Забавно, но при этом целые куски сбацаны под неореализм. Например, велосипедное колесо в самом начале. По режиссуре очень похоже на рязановский ""Гараж"", только еще хуже. Сценарий отвратительный. Жалко актеров, которым приходится произносить такие монологи. Но похвалить их тоже не за что: основной метод игры - истерические крики в самых слабых местах. В целом - жуткая пошлость. Дополнительно угнетает настойчивое желание автора продать нам за дорого всякое фуфло. А именно: своих плоских героев, которые якобы и есть русский народ."|[-9.920998  -9.377803  -7.6948133 ... -9.838713  -9.85376   -9.846692 ]|1
229|Отвратительно.Очень отвратительно.На середине фильма,половина кинозала встала и ушла. Мерзость полнейшая|"[-10.93255   -10.155304   -6.7773657 ...  -9.815123   -9.833188
  -9.82466  ]"|1
230|Режиссеру/сценаристу черную метку. Деятель культуры, блин.|[-6.6123204 -6.66116   -5.6620007 ... -7.696425  -7.698561  -7.697583 ]|1
231|"Россия, ближайшее светлое будущее. В стране разрешены легкие наркотики, мир глобализировался донельзя, однако отряду бравых спецотрядовцев под руководством Гудвина (Гоша Куценко) еще вполне есть чем заняться: зачистка периметра, спасение заложников, ликвидация террористов и все такое. Однако в этом будущем действует совершенно иная схема подготовки спецназа, нежели это принято сейчас. В будущем каждый боец отряда обязан на любой приказ командира реагировать четкой и недвусмысленной фразой: ""А пошел ты в жопу!"" Любой боец считает, что он значительно лучше командира знает, что именно нужно делать в критической ситуации, поэтому каждый приказ сначала обсмеивается, а затем игнорируется и бойцы делают, что хотят. Но в один прекрасный день Гудвин все-таки не выдержал непослушания Скифа (Владимир Вдовиченков), который, вопреки приказу, спас каких-то там вшивых заложников, поставив под угрозу всю операцию. Ну и кроме того, Скиф закадрил единственную девушку в их отряде, Лису (Анастасия Сланевская), на которую положил глаз сам командир, а это нарушение субординации значительно серьезнее, чем какое-то дурацкое невыполнение приказа. Гудвин подал рапорт, после чего бравые бойцы, готовые за командиром в огонь, воду и на концерт медных труб, дружно кинули ему под ноги свои номерные бляхи, также дружно плюнули командиру на рукав, после чего навсегда ушли из спецотряда куда глаза глядят. http://www.exler.ru/ films/13-06-2007.htm"|[-7.8060393 -9.00458   -8.025562  ... -9.228466  -9.227928  -9.228192 ]|1
232|"Совершенно потрясающий фильм. Я такого давно не видел. В общем, в первые 10-15 минут уже было понятно, что это - редкостный отстой, но отстой оказался такого потрясающе отстойного уровня, что даже среди отстоев он выглядит королем отстоев. Поэтому я его досмотрел до конца, чтобы знать, какому фильму присудить почетный приз - ""Полный пердюмонокль года"". И я не пожалел, что досмотрел до конца эту картину, потому что она, она и только она безусловно является лидером среди претендентов на эту почетную награду. Итак, чем же потрясает этот фильм... Всем! Он потрясает просто всем. Впрочем, режиссер Джим Уайнорски всю жизнь и снимал дурацкие ужастики, дешевые боевички или неимоверно тупые эротические комедии, так что удивляться не приходится. Удивляться приходится только тому, что я купил эту кассету. Но купил я ее из-за актера Ричарда Грико, который сыграл в очень забавной пародии на ""джеймсбондовские"" боевики - ""Если бы красота убивала"", так как решил, что и здесь имеет место пародия на какой-нибудь боевик. http://www.exler.ru/ films/14-07-2000.htm"|[ -8.271434 -10.401479  -8.874689 ... -10.750683 -10.762651 -10.757017]|1
233|"В Москве прошла торжественная премьера комедии для неуспевающих американских студентов ""Блондинка в шоколаде"", названная так в нашем прокате в честь телешоу Ксении Собчак. Если бы не эта культовая фигура, почтившая премьеру своим присутствием и проводившая викторину среди зрителей, у фильма, выпущенного в Америке прямо на видео, не было бы шансов занять большинство московских экранов. Отсутствию у наших прокатчиков интеллектуального снобизма радуется ЛИДИЯ Ъ-МАСЛОВА. То, что Ксения Собчак озвучивает главную героиню фильма, которую играет ее американский аналог -- Пэрис Хилтон, безусловно, свидетельствует о наличии в мире высшей гармонии. Если бы такая девушка существовала в единственном экземпляре, можно было бы счесть ее необъяснимым капризом природы, но две настолько сходные по ряду параметров особи, параллельно образовавшиеся в разных концах земного шара,-- это уже смахивает на божественный промысел. Так что довольно смешно читать рассуждения какого-нибудь американского обозревателя новых DVD, с отвращением запихавшего пару строк о ""Блондинке"" в конец своей колонки: ""Главная ошибка здесь -- Пэрис Хилтон"". Никакой ошибки быть не может: если б не Пэрис Хилтон, вообще не стоило бы огород городить, и если б не Ксения Собчак, никогда бы трэш с оригинальным названием Pledge This! (из лексикона студенческих сообществ) не был замечен нашими дистрибуторами в компостной яме, куда сваливают отходы американского кинопроизводства. http://www.kommersan t.ru/doc.aspx?DocsID =741129"|[ -7.265273 -10.250883  -8.321537 ...  -9.102905  -9.105498  -9.104274]|1
234|Отвратительная игра, безумный сценарий. Сплошные нестыковки. Американские штампы, бездумно перенесенный на нашу почву|"[-10.289005  -10.122898   -9.27784   ... -10.854228  -10.8713455
 -10.863296 ]"|1
235|"О художественных потугах этого фильма я вообще молчу - их есть, но результат даже обсуждать не стоит! За что оскара дали - понимаю, за ""проблемное содержание"". Но насколько же банальные ситуации - и как они будут развиваться и чем все закончиться было понятно с самого начала, а значит смотреть зачем? Мы все это и так прекрасно знаем, мы в этом живем! А вот то, что сцену изнасилования копами черной девушки показали как главную ""сексуальную"" тему фильма, да еще и с изощренным плохоскрываемым подтекстом удольствия и ""красоты"" и смакования подробностей - люди, что и комиссия по вручению оскара, и цензура решили от этого спокойно отвернуться? Это же просто кошмар какой-то, любой извращенец захочет повторить, и за это дают статуэтку?? Могли бы сделать хорошее кино из хорошей идеи, но не сделали Дамы и господа, не поддавайтесь попсовым устоям данного кино - американцы изредка снимают неплохие психологические ленты, но данная картина - попса, попса и еще раз банальная попса, никакой глубины, в принципе. Хотите глубины, посмотрите уж лучше Вавилон."|[-9.338638  -8.584721  -7.4226804 ... -9.873925  -9.879414  -9.876846 ]|1
236|Кошмар моего детства)))|"[-10.35291   -14.221988   -7.2134767 ... -11.086524  -11.108665
 -11.098252 ]"|1
237|Бессмысленность насилия в этом фильме еще как-то можно списать на его биографичность и реалистичность, но бессвязные ответвления сюжета и резко обрубаные пути персонажей это обыкновенная бездарность создателей. Мучительно больно за напрасно убитое время.|[-9.168286 -9.300317 -6.977325 ... -9.452264 -9.462437 -9.457648]|1
238|"Редкостная какашка, извините за лексикон... Такого бреда давно не видела. Кланяюсь до земли, что русские американцами показаны не в лаптях с балалайками и в кольчуге... Сложилось мнение, что холодная война продолжается. Жалко было потраченного времени на этот, так сказать ""фильм"""|[-8.55984   -6.021969  -7.3766255 ... -8.838263  -8.843639  -8.841127 ]|1
239|Так плохо, что даже хорошо. Если случайно наткнетесь по телевизору, стоит посмотреть на Сталлоне - я смеялся до слез.|"[ -9.810251   -9.89351    -7.8792844 ... -10.766778  -10.781535
 -10.774602 ]"|1
240|"Длинная, скучная и плохо снятая история про тяжелую жизнь американских зеков и гомосятину ""с душой""."|[-12.340592 -10.152595  -8.180069 ... -10.633568 -10.645128 -10.639686]|1
241|мегаацтой. кандидат на худший фильм года.|[-9.79364  -7.662938 -7.721539 ... -9.636481 -9.652851 -9.645165]|1
242|Любителям компьютерной игры «HIT MAN» посвящается. На мой взгляд, лучше провести время за игрой, нежели потратить его в кинотеатре на этом фильме. Всё очень посредственно. Нет ярких моментов, нет того адреналина, который ты получаешь в игре. Количество хорошо поставленных трюков или спец эффектов не велико. Игра главного героя Тимоти Олифэнта (Timothy Olyphant) далека от хорошей мужской игры, к примеру, как Брюса Уиллиса (Bruce Willis) в «Крепком орешке» (Live Free or Die Hard) или хотя бы Джейсона Стэтэма (Jason Statham) в (Crank). Особенно «палит» Тимети Олифэнта его «женская» походка превращая главного героя в нечто с неопределённое ориентацией. Более того, в фильме куча всяких ляпов: так, в одном из моментов надпись на броне жилете сотрудников Службы Федеральной Безопасности буква «С» в слове «ФСБ» написана в перевёрнутом виде. Так и православная церковь заставленная рядами лавок для прихожан, чего быть не может. (службы в православной церкви проводятся только стоя, есть небольшое количество лавок для очень больных людей ). Слово Почта написано как «Поща» и множество других моментов. Поэтому кому хочется потратить напрасно время «Хит Мэн» для Вас.|[-10.131862 -11.968779  -9.096331 ... -10.58004  -10.589299 -10.584943]|1
243|Ужас. Смесь Города греха (но без спецэффектов) и дешевого гонконгского боевика. Бросил через 15 минут, несмотря на Монику Беллуччи.|[ -9.724771 -10.675074  -8.098548 ... -10.138852 -10.154894 -10.147352]|1
244|Сюжетец да и сам фильм полный отстой!|[-8.050546  -7.264218  -3.7557478 ... -9.36363   -9.375709  -9.369994 ]|1
245|Люди помешались на фэнтэзи. Видимо, наша жизнь, причем не только наша, но и за бугром, настолько невыносима, что мы должны глотать сказочно-фэнтэзийные пилюли. Но здесь пилюли нужны сценаристу и режисеру ШИЗА и полное отсутствие какой-либо взаимосвязи в сюжете на лицо|[-9.230854  -7.986999  -6.2379327 ... -9.283764  -9.289681  -9.286903 ]|1
246|"До легендарного ""Служебного романа"" этому шедевру американского тупизма также далеко, как до звезды. Фильм сделан для рядового американца-обывателя на понятном для его заплывшего жиром мозга языке. Чтобы поддерживать в обывательском стаде неудачников голубую, набившую всему миру оскомину , мечту о том, как волшебно может измениться их жизнь, как в один момент из дебила-уборщика можно превратиться в удачливого, богатого и знаменитого и жениться на манящей силиконовой кукле Джесике Симпсон. Полный отстой."|[-7.1891313 -7.8813295 -6.3528357 ... -8.376983  -8.373489  -8.375161 ]|1
247|Уве Болу пора заканчивать с экранизациями игр - ни до чего хорошего это не доведет|[-8.465405  -7.495485  -6.9732323 ... -9.2981    -9.307456  -9.303042 ]|1
248|Давно не видел такой откровенной гадостной чернухи! Просто бред, грязь и мерзость! За такое кино надо сразу в дурку отправлять! И мне вот интересно, как поднялась рука дать этой блевотине название таким словосочетанием, к которому нормальные люди относятся исключительно со скорбью и уважением!? Балабанов этим фильмом опозорился. Показал только, что он сам явно с психическими отклонениями, а назвав эту гадость таким образом, считаю, что очень-очень многим нанес оскорбление!|[-8.275859  -8.00702   -7.0829883 ... -9.305851  -9.314248  -9.310287 ]|1
249|Фильм не заслуживает вообще никакого внимания, невообразимо туп, не несет абсолютно ничего, только плеваться хочется. Пожалейте свое время и настроение.|[ -8.9865    -9.541014 -10.126932 ... -11.118307 -11.125251 -11.122001]|1
250|длинная реклама|[-11.195171 -10.853915  -6.814788 ... -10.062972 -10.084785 -10.074543]|1
251|Дензел Вашингтон в роли Гангстера это идиотизм. Кастингом к этому фильму явно занимались профаны|[-7.936904  -7.5891047 -5.528486  ... -7.292609  -7.311097  -7.302356 ]|1
252|Тема этой войны уже перетерта кем только не лень. Имхо, весь взвод тупит по страшному, чисто америкосы|[ -8.966783  -8.47325   -9.114179 ... -10.722474 -10.727796 -10.725315]|1
253|"Чудовищная, непрофессиональная поделка, достойная лишь студента-недоучки. Назвать ЭТО фильмом довольно сложно. Скорее, перед нами набор бессвязных эпизодов из цикла ""сойдёт за концепцию"". Отсутствие фантазии гораздо хуже отсутствия бюджета, и в данном случае мы видим, что оба этих страшных недуга неотрывно сопутствовали всему сьёмочному процессу. Использованная в ""фильме"" музыка Десятникова повышает впечатление от него процентов эдак на 95. Хотя музыка не весьма шедевральна, и, будучи пришита к фильму белыми нитками, ни единой своей нотой не совпадает с характером изображения ни в одном кадре, зрительский слух поневоле цепляется за единственный в этом гнусном вареве островок профессионально сделанной работы, как утопающий цепляется за соломинку. Приятного просмотра!"|[-8.281741  -8.648614  -6.0333757 ... -8.188144  -8.186532  -8.187292 ]|1
254|дерьмо это, а не фильм! это очень тупой и скучный рекламный ролик. Мы с женой в середине фильма встали и ушли из кинотеатра. За такой фильм его создателям должно быть очень стыдно.|[-12.247755  -9.522905  -7.680707 ... -10.705895 -10.731008 -10.719169]|1
255|отвратительный фильм, до смерти жаль времени, потраченного на просмотр!|"[-11.601594   -9.965283   -8.8861265 ... -11.632385  -11.651998
 -11.642742 ]"|1
256|херь полная...|[-15.118054 -12.584503 -12.159442 ... -13.313777 -13.351229 -13.333562]|1
257|Смотрела давно. Единственное, что запомнилось это то, что он очень был длинным и нудным. И что не показали главного - у него не было своего собственного ЗАПАХА. Именно вокруг этого закручивается сюжет книги. Именно в этом вся соль, а тут показали простого маньяка, который неизвестно почему (из фильма причина не понятна) стал убивать. Да и еще ...По книге Парфюмер редкостный уродец, а в фильме слащавый мальчик....Фу... Фильму однозначная 2, а книга это шедевр! И так испоганить экранизацию - надо было еще постараться. Совет тем, кто снимает экранизации потрудиться ВНИМАТЕЛЬНО прочитать книгу и постараться расставить акценты.|"[ -9.856477   -8.040949   -7.6536236 ... -10.820013  -10.835039
 -10.827974 ]"|1
258|так себе!Слишком много насилия!|[-10.272725  -9.247209 -10.138799 ... -10.627291 -10.639487 -10.633772]|1
259|Полнейший бред:(|[-10.795419  -8.130091  -9.22135  ...  -9.499556  -9.520893  -9.510826]|1
260|Богатырская серия Мельницы медленно деградирует от года к году. Продюсеры нашли формулу успеха - выпуск мульта во время новогодних каникул. Только это и сделает ему кассу. Совершенно не смешно. Сюжет высосан из пальца обкурившимся сценаристом. Пустая потеря времени, сходите лучше в музей или на каток.|[-9.612067 -9.364076 -7.972916 ... -9.714884 -9.723661 -9.719545]|1
261|"Просто ужасный фильм. Никакая игра актеров, никакая режессура, сценарий так вообще убивает... Весь фильм смотрится с ощущением ""зачем я сюда пришел""... Зато как органично вписывается во всем этот бардак на экране финальный саундтрек! Короче, худший фильм за последний месяц от отечественного производителя. Хотели как лучше, а вот получилось как всегда. P.S. забыл выразить свою уважение продюссеру! Вот уж действительно мастерская работа. Единственный профессионал во всей команде!"|[-10.019132 -10.022789  -7.399473 ...  -9.950715  -9.965861  -9.958746]|1
262|Книга была отличная!Фильм полное г*****!!!Я ушла из кинотеатра не досмотрев и половины|"[ -9.8764715  -9.659686   -7.3939934 ... -10.126993  -10.147648
 -10.137912 ]"|1
263|это анти-кино шедевр среди убожеств|[-11.710123  -7.474538  -6.529779 ... -10.650265 -10.668317 -10.659812]|1
