;Hyponim;hyperonim;text ;source;;;
103;КАТЫШЕК;окатанный камень ;"катыш — КАТЫШ -а; м. Разг. 1. Круглый комок, скатанный шарик из какого-л. мягкого вещества. К. хлеба, воска. // Округлый, окатанный камень. 2. Небольшой чурбан, круглый обрубок дерева. ? Катышек, -шка; м. Уменьш. Вымесить тесто без единого катышка.";Источник: https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%89;;;
104;КАТЫШЕК;чурбан;"катыш — КАТЫШ -а; м. Разг. 1. Круглый комок, скатанный шарик из какого-л. мягкого вещества. К. хлеба, воска. // Округлый, окатанный камень. 2. Небольшой чурбан, круглый обрубок дерева. ? Катышек, -шка; м. Уменьш. Вымесить тесто без единого катышка.";Источник: https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%90;;;
105;КАТЫШЕК;обрубок дерева;"катыш — КАТЫШ -а; м. Разг. 1. Круглый комок, скатанный шарик из какого-л. мягкого вещества. К. хлеба, воска. // Округлый, окатанный камень. 2. Небольшой чурбан, круглый обрубок дерева. ? Катышек, -шка; м. Уменьш. Вымесить тесто без единого катышка.";Источник: https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%91;;;
106;КАУСТИК;;;;;;
107;КАУСТИК;техническое название;Каустик — техническое название едких щелочей.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%83%D1%81%D1%82%D0%B8%D0%BA_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F);;;
108;КАУСТИК;едкая щелочь ;Каустик — техническое название едких щелочей.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%83%D1%81%D1%82%D0%B8%D0%BA_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F);;;
109;КАУСТИК;;;;;;
110;КАУСТИК;;;;;;
111;КАШПО;декоративный сосуд;Кашпо? (от фр. cache-pot, букв. «прятать горшок») — декоративный сосуд без отверстий в нижней части, внутрь которого ставится горшок с растением.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%88%D0%BF%D0%BE;;;
112;КАШПО;ваза;Декоративная ваза для цветочного горшка.;https://www.google.com/search?biw=1536&bih=754&sxsrf=ACYBGNRBk_NpkEkT7olEhYZvvdJOuiu1uw%3A1581894335045&ei=v8pJXs-0AuaPmwWJpojwAw&q=%D0%9A%D0%90%D0%A8%D0%9F%D0%9E+%D1%8D%D1%82%D0%BE+&oq=%D0%9A%D0%90%D0%A8%D0%9F%D0%9E+%D1%8D%D1%82%D0%BE+&gs_l=psy-ab.3..0l2j0i22i30l4.3655.4810..4994...0.2..0.198.719.0j4......0....1..gws-wiz.......0i71j0i67.LAudS4zW38s&ved=0ahUKEwiPkKbPl9fnAhXmx6YKHQkTAj4Q4dUDCAs&uact=5;;;
113;КАШПО;украшение;КАШПО — (фр. cache pot). Украшения для простых цветочных горшков.;https://dic.academic.ru/dic.nsf/ogegova/81794;;;
114;КАШПО;вместилище;кашпо — КАШПО, неизм., ср Вместилище из керамики или пластмассы, среднего или малого размера, изящной формы, открытое, предназначенное для цветочного горшка и украшения помещени;https://dic.academic.ru/dic.nsf/ogegova/81794;;;
115;КАШПО;;;;;;
116;КАЯКИНГ;водный туризм;Каякинг — один из видов водного туризма, спорта или активного отдыха на воде с использованием судна, которое называется каяк. Человек, занимающийся каякингом, называется каякером.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3;;;
117;КАЯКИНГ;экстримального спорта;Каякинг – это вид экстремального спорта, который появился относительно недавно. Он представляет собой сплав по бурной рекена одноместном судне, который и называется каяком. Чаще судно рассчитано на одно место, но может быть и двухместным.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3;;;
118;КАЯКИНГ;путешествие;Морской каякинг — это путешествия по озерам, морям, океанам, равнинным рекам и водохранилищам. Морской туристический каякинг – это сплав по относительно водной глади.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3;;;
119;КАЯКИНГ;движение ;Каякинг на бурной воде – это движение в бурном потоке воды.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3;;;
120;КАЯКИНГ;;;;;;
